obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
57, 60.0, 251416, 12251, 5139, 3361, 779, 5302, 3214, 968, 29, 21, NA, 282430,  X*
58, 61.0, 1666782, 1217079, 62300, 23350, 44934, 44643, 96729, 48411, 30, 10, NA, 3204228,  X*
59, 62.0, 242736, 22504, 4289, 11567, 826, 7256, 1677, 2271, 29, 13, NA, 293126,  X*
60, 63.0, 556769, 17572, 15141, 8706, 2897, 8093, 5716, 2231, 27, 37, NA, 617125,  X*
61, 64.0, 45257, 174580, 4310, 16326, 6685, 15934, 3640, 3310, 16, 21, NA, 270042,  X*
62, 65.0, 72998, 49982, 23518, 28670, 5256, 16934, 6243, 6164, 35, 43, NA, 209765,  X*
63, 66.0, 597055, 37563, 23682, 10369, 2716, 15300, 5959, 4507, 37, 44, NA, 697151,  X*
64, 67.0, 97754, 79626, 2983, 2444, 1672, 6699, 6164, 627, 26, 21, NA, 197969,  X*
65, 68.0, 224009, 9756, 4047, 3657, 1771, 1113, 997, 590, 23, 38, NA, 245940,  X*
66, 69.0, 45745, 35932, 9962, 7478, 15498, 30015, 7642, 11020, 37, 27, NA, 163292,  X*
67, 70.0, 48459, 49499, 29542, 26294, 14075, 6174, 3285, 5392, 23, 29, NA, 182720,  X*
68, 71.0, 56648, 85250, 37475, 3882, 12986, 14894, 3794, 2225, 26, 44, NA, 217154,  X*
69, 72.0, 53662, 60178, 13339, 13003, 13092, 8295, 2612, 1112, 30, 40, NA, 165293,  X*
70, 73.0, 20204, 56548, 3729, 54778, 10311, 9286, 6710, 1083, 11, 50, NA, 162649,  X*
71, 74.0, 31041, 26997, 14060, 22388, 7956, 9257, 3576, 1429, 20, 51, NA, 116704,  X*
72, 75.0, 126957, 26821, 3043, 9380, 9939, 17903, 3976, 2066, 35, 47, NA, 200085,  X*
73, 76.0, 49246, 37725, 22907, 9063, 11726, 18454, 2228, 1457, 44, 50, NA, 152806,  X*
74, 77.0, 48333, 27435, 12664, 26572, 10038, 5058, 2041, 1689, 43, 51, NA, 133830,  X*
75, 78.0, 11061, 22677, 3826, 24039, 6768, 10686, 935, 1321, 48, 50, NA, 81313,  X*
76, 79.0, 172447, 41257, 17449, 17056, 8075, 14190, 2934, 2997, 37, 56, NA, 276405,  X*
77, 80.0, 67304, 44429, 8787, 21171, 7666, 8907, 1668, 2403, 27, 57, NA, 162335,  X*
78, 81.0, 90015, 45929, 58587, 16790, 8750, 11312, 2371, 2851, 30, 60, NA, 236605,  X*
79, 82.0, 349470, 136480, 13213, 15958, 14237, 11218, 7210, 1589, 17, 48, NA, 549375,  X*
80, 83.0, 64104, 25240, 26541, 44415, 9606, 11790, 1876, 1523, 14, 56, NA, 185095,  X*
81, 84.0, 50215, 110536, 11206, 12714, 16501, 13593, 3074, 1563, 13, 47, NA, 219402,  X*
82, 85.0, 90165, 76643, 13839, 16727, 11539, 14799, 5047, 4125, 16, 35, NA, 232884,  X*
83, 86.0, 238598, 57707, 5466, 23228, 10182, 8017, 2412, 963, 21, 41, NA, 346573,  X*
84, 87.0, 44903, 39810, 10888, 11333, 5690, 3473, 1591, 1040, 11, 29, NA, 118728,  X*
