obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
240, 242.9, 79130, 121229, 20135, 32332, 17335, 7141, 3201, 600, 40, 88, NA, 281103,  X
241, 243.9, 486841, 77748, 6666, 15889, 11557, 3190, 3311, 1073, 27, 81, NA, 606275,  X
242, 244.9, 788824, 89689, 18497, 6043, 10543, 5542, 5371, 1386, 20, 64, NA, 925895,  X
243, 246.0, 103911, 124293, 22472, 19975, 8691, 13866, 5342, 1752, 14, 57, NA, 300302,  X
244, 246.9, 12533, 14359, 6682, 18932, 5520, 5353, 3507, 1438, 24, 67, NA, 68324,  X
245, 247.9, 70903, 11975, 2396, 2553, 1653, 2992, 810, 1038, 38, 67, NA, 94320,  X
246, 248.9, 29701, 51403, 4726, 30638, 13672, 28161, 6995, 4322, 53, 74, NA, 169618,  X
247, 249.9, 662935, 278739, 32065, 20690, 6170, 12041, 2271, 3369, 47, 67, NA, 1018280,  X
248, 250.9, 636061, 674499, 29581, 9813, 18815, 25969, 14541, 12519, 37, 41, NA, 1421798,  X
249, 251.9, 573677, 139491, 18246, 35664, 13644, 13608, 20644, 8421, 29, 43, NA, 823395,  X
250, 252.9, 946926, 152097, 39933, 7061, 16558, 11415, 1700, 1600, 16, 41, NA, 1177290,  X
251, 253.9, 10962, 23142, 40336, 8083, 13648, 9533, 2347, 1880, 26, 56, NA, 109931,  X
252, 254.9, 11682, 13399, 11712, 4908, 8441, 6270, 2428, 1574, 40, 78, NA, 60414,  X
253, 255.9, 6908, 19467, 25848, 4134, 2388, 1930, 1107, 825, 37, 91, NA, 62607,  X
254, 256.9, 127853, 116318, 9179, 22563, 15015, 7481, 5726, 1884, 35, 90, NA, 306019,  X
255, 257.9, 69460, 336148, 6795, 56515, 17313, 8399, 2153, 1345, 20, 74, NA, 498128,  X
256, 258.9, 10793, 34924, 30900, 5386, 11284, 2440, 1186, 1682, 7, 75, NA, 98595,  X
257, 259.9, 5973, 24053, 4854, 3238, 6065, 12424, 682, 1513, 23, 57, NA, 58802,  X
258, 260.9, 89427, 23741, 4402, 1763, 5590, 1817, 527, 495, 26, 56, NA, 127762,  X
259, 261.9, 247764, 39948, 16621, 8959, 3383, 11684, 2603, 1647, 41, 64, NA, 332609,  X
260, 262.9, 46373, 8680, 2626, 3927, 2704, 1606, 528, 318, 50, 61, NA, 66762,  X
261, 263.9, 10024, 12012, 9089, 8168, 3721, 3571, 1873, 1118, 41, 75, NA, 49576,  X
262, 264.9, 264475, 37923, 6179, 3423, 1620, 1929, 967, 381, 38, 77, NA, 316897,  X
263, 265.9, 375206, 65001, 41385, 23967, 6820, 9501, 6779, 2904, 30, 81, NA, 531563,  X
264, 266.9, 25197, 28800, 7176, 2302, 7649, 13851, 8459, 3488, 41, 74, NA, 96922,  X
265, 267.9, 30742, 18558, 5946, 11417, 14864, 9959, 8671, 2336, 48, 66, NA, 102493,  X
266, 268.9, 31586, 55610, 13168, 4915, 6017, 7273, 1238, 2266, 54, 67, NA, 122073,  X
267, 269.9, 1059526, 70544, 5514, 30464, 3729, 8878, 2576, 1644, 54, 61, NA, 1182875,  X
268, 270.9, 175292, 48633, 6853, 19653, 6778, 5397, 4052, 1726, 43, 67, NA, 268384,  X
269, 271.9, 1137444, 32844, 12677, 8828, 5464, 7448, 8329, 4782, 38, 67, NA, 1217816,  X
270, 272.9, 133237, 125942, 2410, 4916, 1960, 5273, 7996, 3833, 29, 54, NA, 285567,  X
271, 273.9, 517776, 94909, 29870, 8253, 5243, 13480, 5131, 5894, 29, 53, NA, 680556,  X
272, 274.9, 58253, 19126, 7006, 11587, 8665, 19766, 36658, 5099, 47, 53, NA, 166160,  X
273, 275.9, 158090, 45775, 26729, 4295, 8441, 7790, 1705, 1928, 43, 54, NA, 254753,  X
274, 276.9, 23998, 124724, 10699, 26805, 25589, 10271, 1911, 1052, 48, 67, NA, 225049,  X
275, 277.9, 5762, 27119, 6080, 11893, 5149, 3245, 3930, 1724, 47, 70, NA, 64902,  X
276, 277.9, 489724, 70570, 20749, 14200, 15782, 34060, 15361, 7950, 43, 67, NA, 668396,  X
