obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
240, 245.9, 158549, 16517, 3059, 2049, 7979, 4250, 1818, 2134, 35, 54, NA, 196355,  X
241, 246.9, 164348, 17649, 3849, 24892, 1584, 6691, 2281, 803, 29, 66, NA, 222097,  X
242, 247.9, 185898, 39151, 2223, 6323, 1161, 5652, 2668, 388, 29, 44, NA, 243464,  X
243, 248.9, 707061, 13635, 79314, 6546, 9401, 55530, 6929, 2546, 57, 51, NA, 880962,  X
244, 249.9, 37629, 16054, 25101, 78667, 10626, 26415, 8135, 2848, 57, 77, NA, 205475,  X
245, 250.9, 232402, 97843, 30942, 11220, 30420, 36129, 10324, 6106, 66, 60, NA, 455386,  X
246, 251.9, 79025, 43851, 29435, 20450, 14029, 24436, 7947, 2726, 75, 70, NA, 221899,  X
247, 252.9, 402105, 162943, 14041, 8689, 14041, 18158, 8262, 2763, 51, 50, NA, 631002,  X
248, 253.9, 294936, 77999, 26095, 32470, 35740, 26674, 12827, 3677, 51, 35, NA, 510418,  X
249, 255.0, 541665, 34188, 79541, 24922, 14808, 78849, 6100, 2442, 61, 47, NA, 782515,  X
250, 255.9, 64472, 109208, 15361, 61156, 13698, 22963, 43514, 8174, 51, 44, NA, 338546,  X
251, 256.9, 212409, 38297, 33551, 10856, 5941, 24139, 2404, 2364, 64, 61, NA, 329961,  X
252, 257.9, 1154220, 35244, 26031, 33336, 26063, 21830, 17918, 3169, 67, 66, NA, 1317811,  X
253, 258.9, 43333, 76360, 18670, 47942, 41154, 23114, 13861, 6145, 51, 61, NA, 270579,  X
254, 259.9, 776557, 89256, 32161, 29422, 15477, 17660, 12650, 7466, 51, 61, NA, 980649,  X
255, 260.9, 26287, 38157, 22428, 90851, 18711, 30766, 9647, 5236, 48, 69, NA, 242083,  X
256, 261.9, 1077581, 159206, 8663, 101324, 10205, 37288, 18675, 4039, 40, 66, NA, 1416981,  X
257, 262.9, 6969, 133690, 73914, 56918, 10928, 62219, 7197, 2848, 44, 69, NA, 354683,  X
258, 264.9, 436702, 139054, 90644, 88245, 18932, 27610, 4260, 2835, 41, 75, NA, 808282,  X
259, 265.9, 445445, 177094, 27844, 19610, 5522, 13297, 9708, 4690, 23, 57, NA, 703210,  X
260, 266.9, 155977, 24991, 7246, 4577, 6081, 4079, 2556, 980, 21, 53, NA, 206487,  X
261, 267.9, 308726, 121107, 30950, 20030, 16388, 13137, 8554, 6036, 7, 44, NA, 524928,  X
262, 268.9, 170171, 199455, 5308, 4487, 14158, 4245, 1968, 1067, 1, 16, NA, 400859,  X
263, 269.9, 77519, 12140, 9813, 9470, 5752, 15671, 5621, 600, 24, 26, NA, 136586,  X
264, 271.0, 143643, 27928, 8083, 6191, 3660, 5656, 1345, 536, 30, 27, NA, 197042,  X
265, 271.9, 351128, 112202, 22687, 43837, 18866, 17135, 16395, 3185, 40, 34, NA, 585435,  X
266, 272.9, 52854, 25302, 5604, 23007, 2698, 4702, 4646, 1356, 54, 61, NA, 120169,  X
267, 273.9, 29609, 38678, 2346, 26145, 12596, 27353, 11208, 2324, 53, 56, NA, 150259,  X
268, 274.9, 783299, 66938, 2969, 66364, 12892, 19853, 10794, 598, 53, 63, NA, 963707,  X
269, 275.9, 81623, 33157, 7004, 4898, 6370, 3260, 2413, 258, 48, 57, NA, 138983,  X
270, 276.9, 697829, 27008, 5985, 61196, 8900, 30338, 3004, 4375, 61, 60, NA, 838635,  X
271, 278.0, 415403, 147565, 28875, 8727, 9771, 5276, 2404, 1200, 34, 56, NA, 619221,  X
272, 278.9, 99903, 5310, 137, 2664, 715, 735, 493, 196, 27, 51, NA, 110153,  X
273, 279.9, 138512, 52189, 35425, 49664, 6740, 45063, 8546, 4428, 44, 61, NA, 340567,  X
274, 280.9, 99603, 12991, 3102, 18823, 3121, 7013, 1325, 1010, 40, 61, NA, 146988,  X
275, 281.9, 533985, 101856, 97052, 71390, 21573, 18304, 3438, 1825, 48, 77, NA, 849423,  X
276, 282.9, 90167, 33346, 4316, 12989, 3240, 7505, 1646, 301, 54, 77, NA, 153510,  X
277, 283.9, 183787, 18807, 7591, 5628, 3576, 3724, 2069, 270, 43, 70, NA, 225452,  X
278, 284.9, 2096190, 295998, 39095, 14928, 22594, 11249, 8907, 3104, 21, 54, NA, 2492065,  X
279, 285.9, 603429, 100161, 32992, 8876, 14679, 21428, 8618, 940, 30, 41, NA, 791123,  X
280, 287.0, 114184, 41349, 1920, 9584, 12544, 8282, 1507, 551, 34, 34, NA, 189921,  X
281, 287.9, 536959, 45815, 23823, 40923, 12762, 36360, 8299, 3456, 44, 37, NA, 708397,  X
282, 288.9, 266360, 77528, 40431, 134018, 22952, 17640, 11982, 6549, 54, 57, NA, 577460,  X
283, 289.9, 72746, 11595, 1783, 14406, 6777, 9499, 1412, 621, 64, 64, NA, 118839,  X
284, 290.9, 141920, 6368, 589, 8025, 2222, 3239, 2217, 526, 66, 78, NA, 165106,  X
285, 291.9, 67057, 27839, 7915, 5342, 3644, 5669, 1278, 358, 56, 70, NA, 119102,  X
286, 292.9, 317787, 115591, 10324, 23981, 19756, 11121, 8437, 2798, 56, 54, NA, 509795,  X
287, 293.9, 180994, 153374, 34215, 42243, 22672, 25013, 8215, 4474, 41, 50, NA, 471200,  X
288, 294.9, 2102639, 58324, 18984, 66955, 6664, 35468, 5219, 2061, 44, 51, NA, 2296314,  X
289, 295.9, 77810, 60760, 28860, 18956, 9056, 53825, 6131, 5950, 57, 51, NA, 261348,  X
290, 296.9, 90541, 28905, 2020, 4413, 4369, 8124, 1791, 689, 74, 47, NA, 140852,  X
291, 297.9, 546213, 76919, 18423, 68582, 10372, 30308, 6030, 1231, 80, 53, NA, 758078,  X
292, 298.9, 36810, 55761, 18740, 47842, 17389, 17738, 14479, 1397, 74, 51, NA, 210156,  X
293, 299.9, 561268, 73139, 36414, 45685, 7328, 19468, 5912, 2944, 57, 60, NA, 752158,  X
294, 300.9, 417984, 120994, 7449, 72051, 23756, 21963, 7232, 1972, 48, 70, NA, 673401,  X
295, 301.9, 199913, 151757, 7263, 94936, 17969, 20524, 5684, 13203, 40, 67, NA, 511249,  X
296, 303.0, 159774, 40664, 17221, 41691, 11700, 16690, 9382, 2878, 41, 69, NA, 300000,  X
297, 303.9, 27252, 137269, 26501, 22520, 15797, 34044, 5707, 6836, 47, 57, NA, 275926,  X
298, 304.9, 162560, 46782, 7938, 36563, 31205, 34621, 6949, 3673, 61, 56, NA, 330291,  X
299, 305.9, 577634, 103120, 18068, 10712, 27078, 36154, 5832, 1675, 75, 44, NA, 780273,  X
300, 306.9, 282524, 34175, 1857, 82263, 17392, 16688, 8301, 7494, 70, 48, NA, 450694,  X
301, 307.9, 955508, 226464, 35812, 43635, 22833, 15459, 8697, 3664, 56, 50, NA, 1312072,  X
302, 308.9, 36573, 32580, 2379, 21450, 14082, 14280, 6553, 3736, 51, 50, NA, 131633,  X
303, 310.0, 124250, 18276, 11070, 11929, 2888, 5459, 3442, 427, 44, 64, NA, 177741,  X
304, 310.9, 263903, 104638, 9532, 73744, 14352, 17025, 12106, 5941, 40, 57, NA, 501241,  X
305, 311.9, 45109, 107317, 49947, 41379, 24394, 10694, 10911, 6693, 40, 66, NA, 296444,  X
306, 312.9, 82159, 80428, 23363, 38404, 9765, 35680, 17421, 12300, 40, 69, NA, 299520,  X
307, 313.9, 344733, 120320, 12393, 57682, 21179, 19008, 6139, 3339, 37, 63, NA, 584793,  X
308, 314.9, 79712, 42712, 7180, 4724, 9591, 3812, 6528, 1691, 34, 53, NA, 155950,  X
309, 315.9, 53744, 97292, 5974, 26064, 17977, 11117, 19611, 5332, 38, 43, NA, 237111,  X
310, 316.9, 402300, 276021, 13219, 44035, 25105, 24188, 11264, 6070, 23, 34, NA, 802202,  X
311, 317.9, 399689, 2916, 3555, 14735, 3522, 4895, 2246, 1314, 30, 44, NA, 432872,  X
312, 319.0, 609854, 27231, 28295, 29057, 21646, 50695, 4262, 3360, 56, 54, NA, 774400,  X
313, 319.9, 527166, 106951, 26747, 55603, 17036, 26395, 10568, 10197, 63, 63, NA, 780663,  X
314, 320.9, 500551, 83595, 34408, 63940, 35014, 47200, 6658, 2315, 78, 75, NA, 773681,  X
315, 321.9, 296511, 76658, 6853, 8056, 2885, 5786, 2917, 1099, 63, 53, NA, 400765,  X
316, 322.9, 474268, 76375, 11294, 69206, 11042, 8009, 5717, 4673, 35, 56, NA, 660584,  X
317, 323.9, 515749, 116075, 50375, 98833, 17851, 23851, 3324, 2344, 29, 63, NA, 828402,  X
318, 324.9, 160450, 21091, 32305, 11946, 6806, 5712, 997, 762, 17, 69, NA, 240069,  X
319, 325.9, 82037, 53341, 27700, 56501, 14655, 29941, 8381, 3444, 30, 84, NA, 276000,  X
320, 326.9, 207547, 47616, 4003, 72333, 6749, 18101, 6637, 6953, 43, 88, NA, 369939,  X
321, 327.9, 34684, 96507, 20194, 37323, 31233, 60864, 18139, 5871, 60, 77, NA, 304815,  X
322, 328.9, 47906, 83589, 74697, 53720, 7704, 18854, 14044, 5128, 61, 77, NA, 305642,  X
323, 329.9, 57102, 52676, 15352, 98503, 13282, 43694, 5706, 4520, 63, 78, NA, 290835,  X
324, 330.9, 84780, 50585, 31902, 55996, 26853, 20908, 9988, 3430, 64, 75, NA, 284442,  X
325, 331.9, 138315, 7801, 1830, 8045, 4088, 3721, 2684, 1969, 56, 81, NA, 168453,  X
326, 332.9, 155576, 12548, 13004, 8523, 11312, 3145, 1725, 252, 56, 77, NA, 206085,  X
327, 333.9, 161509, 40976, 3996, 13389, 4172, 7842, 2616, 1455, 50, 66, NA, 235955,  X
328, 334.9, 136959, 12554, 3000, 10344, 6585, 4771, 1275, 1147, 53, 63, NA, 176635,  X
329, 335.9, 1956607, 39492, 42987, 28894, 14828, 22774, 3653, 1798, 53, 67, NA, 2111033,  X
330, 336.9, 87123, 27514, 5844, 18066, 6911, 3243, 1925, 685, 48, 64, NA, 151311,  X
331, 337.9, 107461, 51805, 31964, 212244, 17858, 43517, 19209, 1881, 48, 83, NA, 485939,  X
332, 338.9, 122153, 159666, 13495, 36816, 8376, 16058, 13778, 6472, 38, 75, NA, 376814,  X
333, 339.9, 266471, 174556, 8955, 2431, 3521, 7750, 2678, 907, 21, 50, NA, 467269,  X
334, 340.9, 351519, 284643, 10040, 33808, 3565, 13938, 23727, 1986, 16, 35, NA, 723226,  X
335, 341.9, 64679, 54341, 13067, 16327, 33881, 20875, 3662, 3558, 23, 14, NA, 210390,  X
336, 342.9, 16969, 134036, 44476, 48858, 8346, 12501, 7519, 3860, 17, 23, NA, 276565,  X
337, 343.9, 348545, 3691, 8652, 3702, 6020, 8533, 1577, 879, 48, 47, NA, 381599,  X
338, 344.9, 34757, 24895, 24394, 42778, 4168, 24570, 13998, 5377, 67, 67, NA, 174937,  X
339, 345.9, 25145, 91000, 35724, 30317, 5255, 25327, 12836, 2742, 63, 75, NA, 228346,  X
340, 346.9, 38995, 43158, 23533, 72516, 9648, 48098, 10242, 1181, 83, 80, NA, 247371,  X
341, 347.9, 28366, 34727, 12629, 84483, 23318, 29255, 5467, 4294, 70, 83, NA, 222539,  X
342, 348.9, 92307, 25327, 1023, 10297, 2933, 5966, 1915, 672, 66, 69, NA, 140440,  X
343, 349.9, 718612, 116094, 55264, 14878, 31331, 23971, 45507, 3613, 63, 66, NA, 1009270,  X
344, 351.0, 1611085, 99467, 51185, 44873, 10696, 22010, 5067, 7670, 51, 63, NA, 1852053,  X
345, 351.9, 693076, 31251, 10044, 97501, 10599, 26861, 19472, 6630, 51, 66, NA, 895434,  X
346, 352.9, 245025, 102027, 41107, 25019, 34333, 16501, 14078, 5076, 47, 69, NA, 483166,  X
347, 353.9, 163626, 176023, 29338, 43198, 17235, 11592, 24052, 1592, 35, 67, NA, 466656,  X
348, 354.9, 196469, 106169, 23426, 48103, 25804, 14438, 14920, 2658, 30, 66, NA, 431987,  X
349, 355.9, 107428, 74242, 19525, 17424, 8803, 4764, 4834, 893, 14, 54, NA, 237913,  X
350, 356.9, 19370, 19567, 4006, 35800, 16404, 32398, 7352, 4243, 35, 56, NA, 139140,  X
351, 357.9, 741309, 55018, 1697, 33538, 33535, 47072, 7156, 4981, 61, 53, NA, 924306,  X
352, 358.9, 1094146, 96076, 15006, 41270, 30518, 29121, 13130, 11085, 69, 50, NA, 1330352,  X
353, 359.9, 126644, 47892, 15127, 21109, 23369, 20768, 22272, 5112, 90, 48, NA, 282293,  X
354, 360.9, 413310, 21186, 32012, 72148, 19318, 34833, 9042, 7914, 81, 56, NA, 609763,  X
355, 361.9, 155065, 21514, 4284, 5382, 4473, 11881, 2168, 879, 78, 56, NA, 205646,  X
356, 362.9, 359246, 187819, 6674, 26446, 12963, 37796, 28312, 2144, 78, 48, NA, 661400,  X
357, 363.9, 55337, 28217, 7579, 34617, 26924, 13499, 6615, 2059, 75, 51, NA, 174847,  X
358, 364.9, 270817, 31140, 44643, 9186, 27453, 17569, 11275, 4654, 70, 47, NA, 416737,  X
359, 365.9, 165800, 19414, 19512, 14627, 16019, 30272, 7110, 2291, 77, 53, NA, 275045,  X
360, 366.9, 401179, 188736, 26931, 31393, 21546, 11444, 8373, 3371, 60, 57, NA, 692973,  X
361, 367.9, 336921, 176555, 20329, 18815, 12022, 21370, 6950, 2728, 53, 48, NA, 595690,  X
362, 368.9, 38436, 62283, 18402, 31037, 7434, 25786, 18989, 1468, 53, 44, NA, 203835,  X
363, 369.9, 55662, 61881, 7244, 77923, 8615, 30176, 10500, 4604, 43, 50, NA, 256605,  X
364, 370.9, 66878, 95343, 30561, 44403, 9285, 21332, 31224, 5601, 54, 57, NA, 304627,  X
365, 371.9, 1460207, 143820, 35454, 60401, 48332, 40207, 11152, 6873, 60, 64, NA, 1806446,  X
366, 372.9, 43567, 33350, 20218, 84519, 21061, 24514, 7400, 5742, 56, 74, NA, 240371,  X
367, 374.0, 280570, 34442, 6494, 15545, 2634, 5346, 2288, 507, 47, 67, NA, 347826,  X
368, 374.9, 48029, 78512, 8208, 9204, 5293, 6914, 2273, 911, 41, 56, NA, 159344,  X
369, 375.9, 101130, 12491, 6059, 12414, 3349, 3853, 1762, 860, 38, 66, NA, 141918,  X
370, 376.9, 29054, 73555, 24972, 28772, 20531, 31767, 9272, 5727, 43, 54, NA, 223650,  X
371, 377.9, 38746, 62522, 25115, 133979, 34985, 20612, 12356, 5274, 43, 64, NA, 333589,  X
372, 378.9, 1241877, 147113, 29659, 40804, 20441, 37574, 8543, 8979, 53, 69, NA, 1534990,  X
373, 379.9, 1121585, 186651, 4666, 31236, 38714, 21305, 14854, 6719, 50, 51, NA, 1425730,  X
374, 380.9, 173552, 119985, 8894, 58220, 12821, 30345, 10858, 5511, 44, 51, NA, 420186,  X
375, 381.9, 382083, 592286, 74452, 2162, 44377, 22265, 15219, 3960, 34, 27, NA, 1136804,  X
376, 383.0, 120792, 83612, 14115, 49476, 24181, 9857, 23220, 5350, 21, 34, NA, 330603,  X
377, 383.9, 107215, 55911, 13666, 74736, 18180, 25589, 21354, 3405, 27, 50, NA, 320056,  X
378, 384.9, 119863, 14162, 4886, 11035, 3781, 7934, 2434, 1477, 35, 53, NA, 165572,  X
379, 385.9, 120344, 24404, 7313, 21148, 2933, 6978, 2098, 485, 51, 70, NA, 185703,  X
380, 386.9, 145227, 85015, 5167, 11819, 2191, 9742, 2808, 3047, 56, 61, NA, 265016,  X
381, 387.9, 94460, 91594, 50240, 43480, 15662, 18560, 8214, 4211, 50, 60, NA, 326421,  X
382, 388.9, 437570, 25169, 31118, 53298, 14933, 25258, 18592, 4247, 48, 66, NA, 610185,  X
383, 389.9, 103390, 49005, 77065, 33833, 21104, 21111, 5443, 8262, 48, 70, NA, 319213,  X
384, 390.9, 34390, 27094, 27902, 40156, 9462, 14696, 18249, 4308, 53, 90, NA, 176257,  X
385, 391.9, 2166566, 215990, 37889, 34435, 5138, 19109, 23297, 2482, 48, 81, NA, 2504906,  X
386, 392.9, 303200, 77804, 28315, 17002, 16948, 37857, 22048, 8580, 51, 67, NA, 511754,  X
387, 393.9, 223301, 99784, 27385, 87134, 37310, 36685, 13909, 15442, 53, 63, NA, 540950,  X
388, 394.9, 1527568, 111134, 134924, 82484, 23403, 24384, 12795, 4332, 43, 63, NA, 1921024,  X
389, 395.9, 285803, 161833, 24987, 87560, 22744, 46590, 11681, 14621, 53, 66, NA, 655819,  X
390, 396.9, 485680, 15861, 10384, 14203, 4759, 5215, 5345, 3663, 44, 78, NA, 545110,  X
391, 397.9, 144024, 16707, 5738, 7403, 8986, 5394, 5272, 1182, 44, 74, NA, 194706,  X
392, 398.9, 372328, 124297, 10668, 46010, 24793, 26890, 4694, 4317, 54, 57, NA, 613997,  X
393, 399.9, 88570, 14918, 2981, 6238, 4334, 4399, 2442, 797, 56, 57, NA, 124679,  X
394, 400.9, 83245, 162078, 6770, 44063, 8970, 10279, 9109, 2697, 44, 44, NA, 327211,  X
395, 401.9, 975621, 68619, 13281, 13503, 6976, 21631, 7881, 3923, 48, 43, NA, 1111435,  X
396, 402.9, 202253, 15061, 47270, 15527, 12578, 48046, 9714, 4926, 64, 51, NA, 355375,  X
397, 403.9, 207077, 172108, 11149, 27205, 11457, 22570, 8716, 6680, 57, 44, NA, 466962,  X
398, 404.9, 11703, 22102, 6486, 28970, 15637, 10415, 9680, 5414, 74, 54, NA, 110407,  X
399, 405.9, 243231, 32782, 15781, 3447, 9540, 3386, 3641, 1298, 57, 57, NA, 313106,  X
400, 406.9, 87576, 39650, 17431, 3964, 5833, 4403, 2518, 3348, 35, 51, NA, 164723,  X
401, 407.9, 23836, 49524, 82343, 23882, 31435, 20800, 9530, 4659, 37, 66, NA, 246009,  X
402, 408.9, 616082, 69149, 7726, 23720, 43891, 38206, 14227, 6417, 44, 54, NA, 819418,  X
403, 409.9, 945605, 42323, 24784, 23969, 11456, 55094, 21266, 7293, 69, 54, NA, 1131790,  X
404, 410.9, 272554, 69931, 2074, 20733, 18540, 25532, 12362, 6131, 84, 48, NA, 427857,  X
405, 411.9, 110580, 60755, 16996, 73070, 6750, 9715, 13356, 6455, 77, 48, NA, 297677,  X
406, 412.9, 140166, 36573, 3425, 4923, 5909, 10843, 2565, 2186, 70, 47, NA, 206590,  X
407, 413.9, 367312, 202262, 82856, 14724, 18206, 48068, 12263, 3406, 54, 43, NA, 749097,  X
408, 415.0, 577616, 83039, 26707, 20677, 4944, 21425, 11820, 5578, 50, 50, NA, 751806,  X
409, 415.9, 356266, 107404, 6115, 18956, 54710, 41609, 13506, 4183, 66, 29, NA, 602749,  X
410, 416.9, 311842, 114823, 46984, 102462, 24521, 40546, 13138, 7605, 60, 47, NA, 661921,  X
411, 417.9, 1613595, 103359, 71337, 27846, 33141, 45000, 15150, 8442, 64, 51, NA, 1917870,  X
412, 418.9, 314862, 41250, 8020, 19552, 18582, 43052, 15346, 2743, 80, 47, NA, 463407,  X
413, 419.9, 166974, 72910, 58865, 41634, 13785, 30950, 43688, 4926, 75, 64, NA, 433732,  X
414, 420.9, 1547572, 141328, 42642, 14399, 11601, 15856, 13312, 6400, 67, 54, NA, 1793110,  X
415, 421.9, 276099, 5842, 6914, 18416, 3551, 2662, 4526, 1297, 56, 67, NA, 319307,  X
416, 422.9, 73248, 141734, 58726, 17308, 20078, 13046, 8768, 6335, 29, 74, NA, 339243,  X
417, 423.9, 1878365, 85810, 24032, 69128, 17202, 37765, 18809, 5859, 34, 70, NA, 2136970,  X
418, 424.9, 87808, 187615, 84966, 26434, 39489, 18759, 6062, 7974, 29, 74, NA, 459107,  X
419, 425.9, 73622, 79553, 16066, 91506, 25524, 21308, 6829, 6440, 34, 64, NA, 320848,  X
420, 426.9, 94530, 79325, 8662, 4681, 5667, 11585, 2197, 1606, 43, 53, NA, 208253,  X
421, 427.9, 1487359, 185207, 100224, 23816, 41259, 25322, 11209, 8177, 29, 51, NA, 1882573,  X
422, 428.9, 825867, 130554, 102418, 14360, 20184, 16393, 10592, 3331, 30, 56, NA, 1123699,  X
423, 429.9, 972569, 14970, 110383, 64254, 20552, 33806, 9796, 3653, 37, 66, NA, 1229983,  X
424, 430.9, 1469767, 163205, 30354, 61374, 18640, 14914, 9071, 2208, 27, 77, NA, 1769533,  X
425, 431.9, 72813, 24668, 4440, 3396, 3593, 4298, 2740, 971, 35, 69, NA, 116919,  X
426, 432.9, 30718, 104430, 6397, 21034, 9963, 17720, 6094, 9938, 41, 57, NA, 206294,  X
427, 433.9, 41764, 135623, 13264, 26228, 9514, 40663, 8955, 12630, 43, 35, NA, 288641,  X
428, 434.9, 103250, 27544, 52327, 26029, 21089, 19529, 3770, 3069, 57, 43, NA, 256607,  X
429, 435.9, 255202, 48418, 32897, 66264, 29387, 19626, 9779, 2997, 56, 56, NA, 464570,  X
430, 436.9, 3545564, 144053, 66798, 36959, 26918, 33261, 11111, 3913, 57, 66, NA, 3868577,  X
431, 438.0, 561347, 120830, 57105, 49926, 22570, 44814, 35189, 13481, 54, 77, NA, 905262,  X
432, 438.9, 947103, 1049679, 143776, 244201, 120201, 141763, 167803, 103389, 48, 63, NA, 2917915,  X
433, 439.9, 171457, 18328, 6580, 6022, 8289, 6131, 2594, 474, 53, 53, NA, 219875,  X
434, 440.9, 181636, 12818, 3686, 5112, 7655, 7002, 2133, 478, 61, 48, NA, 220520,  X
435, 441.9, 231800, 8115, 6737, 9769, 6054, 5131, 746, 772, 63, 53, NA, 269124,  X
436, 442.9, 109145, 14110, 4191, 10502, 2615, 3850, 1768, 855, 66, 61, NA, 147036,  X
437, 443.9, 311646, 113041, 10083, 9155, 7222, 4683, 8705, 2040, 47, 53, NA, 466575,  X
438, 444.9, 144632, 228593, 15016, 76956, 16145, 25661, 13363, 3112, 30, 53, NA, 523478,  X
439, 445.9, 200272, 83202, 8704, 1746, 5127, 3045, 1323, 390, 10, 34, NA, 303809,  X
440, 447.0, 438622, 76293, 5678, 9218, 7507, 14959, 3977, 7098, 11, 17, NA, 563352,  X
441, 447.9, 92415, 12522, 1644, 1566, 1868, 2000, 891, 379, 26, 20, NA, 113285,  X
442, 448.9, 66905, 20621, 3910, 8087, 1440, 7725, 1373, 968, 40, 21, NA, 111029,  X
443, 449.9, 1135421, 36941, 2484, 21280, 18905, 9943, 8448, 9525, 57, 30, NA, 1242947,  X
444, 450.9, 240789, 960454, 23542, 78046, 32734, 51383, 42657, 10300, 43, 26, NA, 1439905,  X
445, 450.9, 381326, 45861, 12980, 10718, 19731, 10945, 7125, 3157, 44, 30, NA, 491843,  X
